epoch,accuracy,loss,val_accuracy,val_loss
0,0.951822817325592,0.12203279882669449,0.9952380061149597,0.01811300963163376
1,0.9963905811309814,0.014905465766787529,0.9964485168457031,0.013813270255923271
2,0.9978667497634888,0.00934339128434658,0.998039186000824,0.008223706856369972
3,0.9983806610107422,0.007377843838185072,0.9986594319343567,0.006465834099799395
4,0.9986854791641235,0.006029533222317696,0.9986494183540344,0.006296676117926836
5,0.9988539814949036,0.005402376875281334,0.9985594153404236,0.007831769064068794
